"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Structural Groupname"
"Dussertite","Dussertite","BaFe3+3(AsO4)(AsO3OH)(OH)6","Alunite-crandallite"
"Dutkevichite-(Ce)","Dutkevichite-(Ce)","NaZnBa2Ce2Ti2Si8O26F·H2O","Joaquinite"
"Dutrowite","Dutrowite","Na(Fe2+2.5Ti0.5)Al6(Si6O18)(BO3)3(OH)3O","Tourmaline"
"Duttonite","Duttonite","V4+O(OH)2"," "
"Dwornikite","Dwornikite","Ni(SO4)·H2O","Kieserite"
"Dymkovite","Dymkovite","Ni(UO2)2(As3+O3)2·7H2O","Seelite"
"Dypingite","Dypingite","Mg5(CO3)4(OH)2·5H2O"," "
"Dyrnaesite-(La)","Dyrnaesite-(La)","Na8Ce4+(La,REE)2(PO4)6","Vitusite"
"Dyscrasite","Dyscrasite","Ag3+xSb1-x (x ≈ 0.2)","Allargentum"
"Dzhalindite","Dzhalindite","In(OH)3","Perovskite"
"Dzharkenite","Dzharkenite","FeSe2","Pyrite"
"Dzhuluite","Dzhuluite","Ca3(SbSn)(Fe3+O4)3","Garnet"
"Dzierżanowskite","Dzierzanowskite","CaCu2S2"," "
"Eakerite","Eakerite","Ca2Sn4+Al2Si6O18(OH)2·2H2O"," "
"Earlandite","Earlandite","Ca3(C6H5O7)2·4H2O"," "
"Earlshannonite","Earlshannonite","Mn2+Fe3+2(PO4)2(OH)2·4H2O","Arthurite"
"Eastonite","Eastonite","KAlMg2(Si2Al2)O10(OH)2","Mica"
"Ecandrewsite","Ecandrewsite","ZnTiO3","Corundum"
"Ecdemite","Ecdemite","Pb6As3+2O7Cl4"," "
"Eckerite","Eckerite","Ag2CuAsS3","Xanthoconite"
"Eckermannite","Eckermannite","NaNa2(Mg4Al)Si8O22(OH)2","Amphibole"
"Eckhardite","Eckhardite","(Ca,Pb)Cu2+Te6+O5(H2O)"," "
"Eclarite","Eclarite","(Cu,Fe)Pb9Bi12S28","Kobellite"
"Écrinsite","Ecrinsite","AgTl3Pb4As11Sb9S36","Sartorite"
"Eddavidite","Eddavidite","Cu12Pb2O15Br2","Murdochite"
"Edenharterite","Edenharterite","TlPbAs3S6"," "
"Edenite","Edenite","NaCa2Mg5(Si7Al)O22(OH)2","Amphibole"
"Edgarbaileyite","Edgarbaileyite","Hg1+6Si2O7"," "
"Edgarite","Edgarite","FeNb3S6"," "
"Edgrewite","Edgrewite","Ca9(SiO4)4F2","Humite"
"Edingtonite","Edingtonite","Ba(Si3Al2)O10·4H2O","Edingtonite"
"Edoylerite","Edoylerite","Hg2+3(Cr6+O4)S2"," "
"Edscottite","Edscottite","Fe5C2"," "
"Edtollite","Edtollite","K2NaCu5Fe3+O2(AsO4)4","Edtollite"
"Edwardsite","Edwardsite","Cu3Cd2(SO4)2(OH)6·4H2O"," "
"Effenbergerite","Effenbergerite","BaCuSi4O10","Gillespite"
"Efremovite","Efremovite","(NH4)2Mg2(SO4)3","Langbeinite"
"Eggletonite","Eggletonite","(Na,K,Ca)xMn6(Si,Al)10O24(OH)4·nH2O (x = 1-2; n = 7-11)","Clay"
"Eglestonite","Eglestonite","([Hg1+]2)3OCl3(OH)"," "
"Ehrleite","Ehrleite","Ca2ZnBe(PO4)2(PO3OH)·4H2O"," "
"Eifelite","Eifelite","KNa2(MgNa)(Mg3Si12)O30","Milarite"
"Eirikite","Eirikite","KNa6Be2(Si15Al3)O39F2","Leifite"
"Eitelite","Eitelite","Na2Mg(CO3)2"," "
"Ekanite","Ekanite","Ca2ThSi8O20","Amorphous"
"Ekaterinite","Ekaterinite","Ca2B4O7Cl2·2H2O"," "
"Ekatite","Ekatite","(Fe3+,Fe2+,Zn)12(AsO3)6(AsO3,SiO3OH)2(OH)6","Ellenbergerite"
"Ekebergite","Ekebergite","ThFeNb2O8"," "
"Ekplexite","Ekplexite","(Nb,Mo)S2·(Mg1-xAlx)(OH)2+x","Valleriite"
"Elasmochloite","Elasmochloite","Na3Cu6BiO4(SO4)5"," "
"Elbaite","Elbaite","Na(Al1.5Li1.5)Al6(Si6O18)(BO3)3(OH)3(OH)","Tourmaline"
"Elbrusite","Elbrusite","Ca3(U6+0.5Zr1.5)(Fe3+O4)3","Garnet"
"Eldfellite","Eldfellite","NaFe3+(SO4)2","Zinkosite"
"Eldragónite","Eldragonite","Cu6BiSe4(Se2)"," "
"Eleomelanite","Eleomelanite","(K2Pb)Cu4O2(SO4)4"," "
"Eleonorite","Eleonorite","Fe3+6(PO4)4O(OH)4·6H2O","Beraunite"
"Elgoresyite","Elgoresyite","(Mg5Si2)O9"," "
"Eliopoulosite","Eliopoulosite","V7S8"," "
"Eliseevite","Eliseevite","Na1.5Li{Ti2O2[Si4O10.5(OH)1.5]}·2H2O"," "
"Ellenbergerite","Ellenbergerite","Mg6(Mg,Ti,Zr,[box])2(Al,Mg)6Si8O28(OH)10","Ellenbergerite"
"Ellinaite","Ellinaite","CaCr2O4","Post-spinel"
"Ellingsenite","Ellingsenite","Na5Ca6Si18O38(OH)13·6H2O"," "
"Ellisite","Ellisite","Tl3AsS3"," "
"Elpasolite","Elpasolite","K2NaAlF6","Perovskite"
"Elpidite","Elpidite","Na2ZrSi6O15·3H2O"," "
"Eltyubyuite","Eltyubyuite","Ca12Fe3+10Si4O32Cl6","Mayenite"
"Elyite","Elyite","CuPb4(SO4)O2(OH)4·H2O"," "
"Embreyite","Embreyite","Pb5(CrO4)2(PO4)2·H2O"," "
"Emeleusite","Emeleusite","Na2LiFe3+Si6O15"," "
"Emilite","Emilite","Cu10.7Pb10.7Bi21.3S48","Meneghinite"
"Emmerichite","Emmerichite","Ba2Ti2Na3Fe3+(Si2O7)2O2F2","Seidozerite-Lamprophyllite"
"Emmonsite","Emmonsite","Fe3+2(Te4+O3)3·2H2O"," "
"Emplectite","Emplectite","CuBiS2","Chalcostibite"
"Empressite","Empressite","AgTe"," "
"Enargite","Enargite","Cu3AsS4","Wurtzite"
"Engelhauptite","Engelhauptite","KCu3(V2O7)(OH)2Cl"," "
"Englishite","Englishite","K3Na2Ca10Al15(OH)7(PO4)21·26H2O"," "
"Enneasartorite","Enneasartorite","Tl6Pb32As70S140","Sartorite"
"Enstatite","Enstatite","Mg2Si2O6","Pyroxene"
"Eosphorite","Eosphorite","Mn2+Al(PO4)(OH)2·H2O","Childrenite"
"Ephesite","Ephesite","NaLiAl2(Si2Al2)O10(OH)2","Mica"
"Epididymite","Epididymite","Na2Be2Si6O15·H2O"," "
"Epidote","Epidote","Ca2(Al2Fe3+)[Si2O7][SiO4]O(OH)","Clinozoisite"
"Epidote-(Sr)","Epidote-(Sr)","CaSr(Al2Fe3+)[Si2O7][SiO4]O(OH)","Epidote"
"Epifanovite","Epifanovite","NaCaCu5(PO4)4[AsO2(OH)2]·7H2O","Andyrobertsite"
"Epistilbite","Epistilbite","Ca3[Si18Al6O48]·16H2O","Mordenite"
"Epistolite","Epistolite","(Na[box])Nb2Na3Ti(Si2O7)2O2(OH)2(H2O)4","Seidozerite-Lamprophyllite"
"Epsomite","Epsomite","Mg(SO4)·7H2O","Epsomite"
"Erazoite","Erazoite","Cu4SnS6"," "
"Ercitite","Ercitite","NaMn3+(PO4)(OH)·2H2O"," "
"Erdite","Erdite","NaFeS2·2H2O"," "
"Ericaite","Ericaite","Fe2+3B7O13Cl","Boracite"
"Ericlaxmanite","Ericlaxmanite","Cu4O(AsO4)2"," "
"Ericssonite","Ericssonite","BaMn2+2Fe3+(Si2O7)O(OH)","Ericssonite"
"Erikapohlite","Erikapohlite","([box]0.5Cu0.5)CuCaZn2(AsO4)3·H2O","Alluaudite"
"Erikjonssonite","Erikjonssonite","(Pb32O21)[(V,Si,Mo,As)O4]4Cl9","Hereroite"
"Eringaite","Eringaite","Ca3Sc2(SiO4)3","Garnet"
"Eriochalcite","Eriochalcite","CuCl2·2H2O"," "
"Erionite-Ca","Erionite-Ca","Ca5[Si26Al10O72]·30H2O","Erionite"
"Erionite-K","Erionite-K","K10[Si26Al10O72]·30H2O","Erionite"
"Erionite-Na","Erionite-Na","Na10[Si26Al10O72]·30H2O","Erionite"
"Erlianite","Erlianite","Fe2+4Fe3+2Si6O15(OH)8"," "
"Erlichmanite","Erlichmanite","OsS2","Pyrite"
"Ermakovite","Ermakovite","(NH4)(As2O3)2Br","Lucabindiite"
"Ernienickelite","Ernienickelite","NiMn4+3O7·3H2O"," "
"Erniggliite","Erniggliite","Tl2SnAs2S6"," "
"Ernstburkeite","Ernstburkeite","Mg(CH3SO3)2·12H2O"," "
"Ernstite","Ernstite","(Mn2+,Fe3+)Al(PO4)(OH,O)2","Childrenite"
"Ershovite","Ershovite","K3Na4(Fe,Mn,Ti)2Si8O20(OH,O)4·4H2O","Ershovite"
"Erssonite","Erssonite","CaMg7Fe3+2(OH)18(SO4)2·12H2O","Hydrotalcite"
"Ertixiite","Ertixiite","Na2Si4O9"," "
"Erythrite","Erythrite","Co3(AsO4)2·8H2O","Vivianite"
"Erythrosiderite","Erythrosiderite","K2Fe3+Cl5·H2O"," "
"Erzwiesite","Erzwiesite","Ag8Pb12Bi16S40","Lillianite"
"Escheite","Escheite","Ca2NaMnTi5[Si12O34]O2(OH)3·12H2O","Zorite"
"Esdanaite-(Ce)","Esdanaite-(Ce)","NaMnCe(PO4)2·4H2O"," "
"Eskebornite","Eskebornite","CuFeSe2","Chalcopyrite"
"Eskimoite","Eskimoite","Ag7Pb10Bi15S36","Lillianite"
"Eskolaite","Eskolaite","Cr2O3","Corundum"
"Espadaite","Espadaite","Na4Ca3Mg2[AsO3(OH)]2[AsO2(OH)2]10(H2O)6·H2O"," "
"Esperanzaite","Esperanzaite","NaCa2Al2(AsO4)2F4(OH)·2H2O"," "
"Esperite","Esperite","PbCa2(ZnSiO4)3","Beryllonite"
"Esquireite","Esquireite","BaSi6O13·7H2O"," "
"Esseneite","Esseneite","CaFe3+AlSiO6","Pyroxene"
"Ettringite","Ettringite","Ca6Al2(SO4)3(OH)12·27H2O","Ettringite"
"Eucairite","Eucairite","CuAgSe"," "
"Euchlorine","Euchlorine","KNaCu3O(SO4)3","Euchlorine"
"Euchroite","Euchroite","Cu2(AsO4)(OH)·3H2O"," "
"Euclase","Euclase","BeAlSiO4(OH)"," "
"Eucryptite","Eucryptite","LiAlSiO4","Phenakite"
"Eudialyte","Eudialyte","Na15Ca6Fe3Zr3Si(Si25O73)(O,OH,H2O)3(Cl,OH)2","Eudialyte"
"Eudidymite","Eudidymite","Na2Be2Si6O15·H2O"," "
"Eugenite","Eugenite","Ag11Hg2"," "
"Eugsterite","Eugsterite","Na4Ca(SO4)3·2H2O"," "
"Eulytine","Eulytine","Bi4(SiO4)3"," "
"Eurekadumpite","Eurekadumpite","(Cu,Zn)16(Te4+O3)2(AsO4)3Cl(OH)18·7H2O"," "
"Euxenite-(Y)","Euxenite-(Y)","(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)2O6","Columbite"
"Evansite","Evansite","Al3(PO4)(OH)6·8H2O","Amorphous"
"Evdokimovite","Evdokimovite","Tl4(VO)3(SO4)5(H2O)5"," "
"Eveite","Eveite","Mn2+2(AsO4)(OH)","Andalusite"
"Evenkite","Evenkite","C23H48"," "
"Eveslogite","Eveslogite","(Ca,K,Na,Sr,Ba)48(Ti,Nb,Fe,Mn)12(OH)12Si48O144(OH,F,Cl)14"," "
"Evseevite","Evseevite","Na2Mg(AsO4)F","Moraskoite"
"Ewaldite","Ewaldite","Ba(Na,Ca,Y,Ce,K)(CO3)2·2.6H2O"," "
"Ewingite","Ewingite","Mg8Ca8(UO2)24(CO3)30O4(OH)12(H2O)138"," "
"Eylettersite","Eylettersite","Th0.75Al3(PO4)2(OH)6","Alunite-crandallite"
"Eyselite","Eyselite","Fe3+Ge4+3O7(OH)"," "
"Ezcurrite","Ezcurrite","Na2B5O7(OH)3·2H2O"," "
"Eztlite","Eztlite","Pb2Fe3+3(Te4+O3)3(SO4)O2Cl"," "
"Fabianite","Fabianite","CaB3O5(OH)"," "
"Fabrièsite","Fabriesite","Na3Al3Si3O12·2H2O"," "
"Faheyite","Faheyite","Be2Mn2+Fe3+2(PO4)4·6H2O"," "
"Fahleite","Fahleite","CaZn5Fe3+2(AsO4)6·14H2O","Smolyaninovite"
"Fairbankite","Fairbankite","Pb2+12(Te4+O3)11(SO4)"," "
"Fairchildite","Fairchildite","K2Ca(CO3)2","Fairchildite"
"Fairfieldite","Fairfieldite","Ca2Mn2+(PO4)2·2H2O","Fairfieldite"
"Faizievite","Faizievite","Li6K2Na(Ca6Na)Ti4(Si6O18)2(Si12O30)F2"," "
"Falcondoite","Falcondoite","Ni4Si6O15(OH)2·6H2O","Clay"
"Falgarite","Falgarite","K4(VO)3(SO4)5"," "
"Falkmanite","Falkmanite","Pb3Sb2S6"," "
"Falottaite","Falottaite","MnC2O4·3H2O","Oxalate"
"Falsterite","Falsterite","Ca2MgMn2+2Fe2+2Fe3+2Zn4(PO4)8(OH)4(H2O)14"," "
"Famatinite","Famatinite","Cu3SbS4","Sphalerite"
"Fanfaniite","Fanfaniite","Ca4Mn2+Al4(PO4)6(OH)4·12H2O","Calcioferrite"
"Fangite","Fangite","Tl3AsS4"," "
"Fantappièite","Fantappieite","[Na82.5Ca33K16.5]Σ=132(Si99Al99O396)(SO4)33·6H2O","Cancrinite-sodalite"
"Farneseite","Farneseite","Na46Ca10(Si42Al42O168)(SO4)12·6H2O","Cancrinite-sodalite"
"Farringtonite","Farringtonite","Mg3(PO4)2"," "
"Fassinaite","Fassinaite","Pb2(CO3)(S2O3)"," "
"Faujasite-Ca","Faujasite-Ca","(Ca,Na,Mg)2(Si,Al)12O24·15H2O"," "
"Faujasite-Mg","Faujasite-Mg","(Mg,Na,K,Ca)2(Si,Al)12O24·15H2O"," "
"Faujasite-Na","Faujasite-Na","(Na,Ca,Mg)2(Si,Al)12O24·15H2O"," "
"Faustite","Faustite","ZnAl6(PO4)4(OH)8·4H2O","Turquoise"
"Favreauite","Favreauite","PbBiCu6O4(SeO3)4(OH)·H2O"," "
"Fayalite","Fayalite","Fe2+2(SiO4)","Olivine"
"Fedorite","Fedorite","(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2·3.5H2O","Gyrolite"
"Fedorovskite","Fedorovskite","Ca2Mg2B4O7(OH)6"," "
"Fedotovite","Fedotovite","K2Cu3O(SO4)3","Euchlorine"
"Fehrite","Fehrite","MgCu4(SO4)2(OH)6·6H2O","Ktenasite"
"Feiite","Feiite","Fe2+2(Fe2+Ti4+)O5"," "
"Feinglosite","Feinglosite","Pb2Zn(AsO4)2·H2O","Brackebuschite"
"Feitknechtite","Feitknechtite","Mn3+O(OH)"," "
"Feklichevite","Feklichevite","Na11Ca9(Fe3+,Fe2+)2Zr3Nb(Si25O73)(OH,H2O,Cl,O)5","Eudialyte"
"Felbertalite","Felbertalite","Cu2Pb6Bi8S19"," "
"Felsőbányaite","Felsobanyaite","Al4(SO4)(OH)10·4H2O"," "
"Fenaksite","Fenaksite","KNaFe2+Si4O10","Litidionite"
"Fencooperite","Fencooperite","Ba6Fe3+3Si8O23(CO3)2Cl3·H2O"," "
"Fengchengite","Fengchengite","Na12[box]3Ca6Fe3+3Zr3Si(Si25O73)(H2O)3(OH)2","Eudialyte"
"Feodosiyite","Feodosiyite","Cu11Mg2Cl18(OH)8·16H2O"," "
"Ferberite","Ferberite","Fe2+(WO4)","Wolframite"
"Ferchromide","Ferchromide","Cr1.5Fe0.2","Iron"
"Ferdowsiite","Ferdowsiite","Ag8(Sb5As3)S16","Ferdowsiite"
"Fergusonite-(Ce)","Fergusonite-(Ce)","CeNbO4·0.3H2O","Scheelite"
"Fergusonite-(Ce)-β","Fergusonite-(Ce)-beta","CeNbO4"," "
"Fergusonite-(Nd)-β","Fergusonite-(Nd)-beta","NdNbO4"," "
"Fergusonite-(Y)","Fergusonite-(Y)","YNbO4","Scheelite"
"Fergusonite-(Y)-β","Fergusonite-(Y)-beta","YNbO4"," "
"Ferhodsite","Ferhodsite","(Fe,Rh,Ni,Ir,Cu,Co,Pt)9-xS8","Pentlandite"
"Fermiite","Fermiite","Na4(UO2)(SO4)3·3H2O"," "
"Fernandinite","Fernandinite","(Ca,Na,K)0.9(V5+,V4+,Fe2+,Ti)8O20·4H2O","Straczekite"
"Feroxyhyte","Feroxyhyte","Fe3+O(OH)"," "
"Ferraioloite","Ferraioloite","MgMn2+4(Fe2+0.5Al0.5)4Zn4(PO4)8(OH)4(H2O)20"," "
"Ferrarisite","Ferrarisite","Ca5(AsO3OH)2(AsO4)2·9H2O","Lindackerite"
"Ferriakasakaite-(Ce)","Ferriakasakaite-(Ce)","CaCeFe3+AlMn2+(Si2O7)(SiO4)O(OH)","Epidote"
"Ferriakasakaite-(La)","Ferriakasakaite-(La)","CaLaFe3+AlMn2+(Si2O7)(SiO4)O(OH)","Epidote"
"Ferriallanite-(Ce)","Ferriallanite-(Ce)","CaCe(Fe3+AlFe2+)[Si2O7][SiO4]O(OH)","Epidote"
"Ferriallanite-(La)","Ferriallanite-(La)","CaLa(Fe3+AlFe2+)[Si2O7][SiO4]O(OH)","Epidote"
"Ferriandrosite-(La)","Ferriandrosite-(La)","MnLaFe3+AlMn2+(Si2O7)(SiO4)O(OH)","Epidote"
"Ferribushmakinite","Ferribushmakinite","Pb2Fe3+(PO4)(VO4)(OH)","Brackebuschite"
"Ferricerite-(La)","Ferricerite-(La)","(La,Ce,Ca)9Fe3+(SiO4)3(SiO3OH)4(OH)3","Cerite"
"Ferricopiapite","Ferricopiapite","Fe3+0.67Fe3+4(SO4)6(OH)2·20H2O","Copiapite"
"Ferricoronadite","Ferricoronadite","Pb(Mn4+6Fe3+2)O16","Coronadite"
"Ferrierite-K","Ferrierite-K","(K,Na)5(Si31Al5)O72·18H2O","Ferrierite"
"Ferrierite-Mg","Ferrierite-Mg","[Mg2(K,Na)2Ca0.5](Si29Al7)O72·18H2O","Ferrierite"
"Ferrierite-Na","Ferrierite-Na","(Na,K)5(Si31Al5)O72·18H2O","Ferrierite"
"Ferrierite-NH<sub>4</sub>","Ferrierite-NH4","(NH4,Mg0.5)5(Al5Si31O72)·22H2O","Ferrierite"
"Ferri-fluoro-katophorite","Ferri-fluoro-katophorite","Na(NaCa)(Mg4Fe3+)(Si7Al)O22F2","Amphibole-amphiboles sodic-calcic"
"Ferri-fluoro-leakeite","Ferri-fluoro-leakeite","NaNa2(Mg2Fe3+2Li)Si8O22F2","Amphibole"
"Ferri-ghoseite","Ferri-ghoseite","[box](NaMn2+)(Mg4Fe3+)Si8O22(OH)2","Amphibole"
"Ferri-hellandite-(Ce)","Ferri-hellandite-(Ce)","(Ca3Ce)Ce2Fe3+2B4Si4O22(OH)2","Hellandite"
"Ferrihollandite","Ferrihollandite","Ba(Mn4+6Fe3+2)O16","Coronadite"
"Ferrihydrite","Ferrihydrite","Fe3+10O14(OH)2","Nolanite"
"Ferri-kaersutite","Ferri-kaersutite","NaCa2(Mg3Fe3+Ti)(Si6Al2)O22O2","Amphibole-amphiboles sodic-calcic"
"Ferri-katophorite","Ferri-katophorite","Na(NaCa)(Mg4Fe3+)(Si7Al)O22(OH)2","Amphibole"
"Ferri-leakeite","Ferri-leakeite","NaNa2(Mg2Fe3+2Li)Si8O22(OH)2","Amphibole"
"Ferrilotharmeyerite","Ferrilotharmeyerite","CaZnFe3+(AsO4)2(OH)·H2O","Natrochalcite"
"Ferrimolybdite","Ferrimolybdite","Fe3+2(Mo6+O4)3·7H2O"," "
"Ferri-mottanaite-(Ce)","Ferri-mottanaite-(Ce)","Ca4Ce2Fe3+(Be1.5[box]0.5)[Si4B4O22]O2","Hellandite"
"Ferrinatrite","Ferrinatrite","Na3Fe3+(SO4)3·3H2O"," "
"Ferri-obertiite","Ferri-obertiite","NaNa2(Mg3Fe3+Ti)Si8O22O2","Amphibole"
"Ferri-pedrizite","Ferri-pedrizite","NaLi2(Mg2Fe3+2Li)Si8O22(OH)2","Amphibole-amphiboles Na-Ca-Mg-Fe-Mn-Li"
"Ferriperbøeite-(Ce)","Ferriperboeite-(Ce)","(CaCe3)(Fe3+Al2Fe2+)(Si2O7)(SiO4)3O(OH)2","Gatelite"
"Ferriperbøeite-(La)","Ferriperboeite-(La)","(CaLa3)(Fe3+Al2Fe2+)[Si2O7][SiO4]3O(OH)2","Gatelite"
"Ferriprehnite","Ferriprehnite","Ca2Fe3+(AlSi3)O10(OH)2","Prehnite"
"Ferripyrophyllite","Ferripyrophyllite","Fe3+Si2O5(OH)","Pyrophyllite"
"Ferrirockbridgeite","Ferrirockbridgeite","(Fe3+0.67[box]0.33)2(Fe3+)3(PO4)3(OH)4(H2O)","Rockbridgeite"
"Ferrisanidine","Ferrisanidine","K(Fe3+Si3O8)","Feldspar"
"Ferrisepiolite","Ferrisepiolite","(Fe3+,Fe2+,Mg)4[(Si,Fe3+)6O15](O,OH)2·6H2O","Sepiolite"
"Ferrisicklerite","Ferrisicklerite","Li1-x(Fe3+,Mn2+)(PO4)","Olivine"
"Ferristrunzite","Ferristrunzite","Fe3+Fe3+2(PO4)2(OH)3·5H2O","Strunzite"
"Ferrisurite","Ferrisurite","Pb2.4Fe3+2Si4O10(CO3)1.7(OH)3·nH2O"," "
"Ferrisymplesite","Ferrisymplesite","Fe3+3(AsO4)2(OH)3·5H2O","Symplesite"
"Ferrivauxite","Ferrivauxite","Fe3+Al2(PO4)2(OH)3·5H2O","Vauxite"
"Ferri-winchite","Ferri-winchite","[box](NaCa)(Mg4Fe3+)Si8O22(OH)2","Amphibole"
"Ferro-actinolite","Ferro-actinolite","[box]Ca2(Mg2.5-0.0Fe2+2.5-5.0)Si8O22(OH)2","Amphibole"
"Ferroalluaudite","Ferroalluaudite","NaFe2+Fe3+2(PO4)3","Alluaudite"
"Ferroaluminoceladonite","Ferroaluminoceladonite","KFe2+AlSi4O10(OH)2","Mica"
"Ferro-anthophyllite","Ferro-anthophyllite","[box]Fe2+2Fe2+5Si8O22(OH)2","Amphibole"
"Ferrobobfergusonite","Ferrobobfergusonite","[box]Na2Fe2+5Fe3+Al(PO4)6","Alluaudite-Bobfergusonite"
"Ferrobustamite","Ferrobustamite","CaFe2+Si2O6","Wollastonite"
"Ferrocarpholite","Ferrocarpholite","Fe2+Al2Si2O6(OH)4","Carpholite"
"Ferroceladonite","Ferroceladonite","KFe2+Fe3+Si4O10(OH)2","Mica"
"Ferrochiavennite","Ferrochiavennite","Ca1-2Fe[(Si,Al,Be)5Be2O13(OH)2]·2H2O"," "
"Ferro-edenite","Ferro-edenite","NaCa2Fe2+5(Si7Al)O22(OH)2","Amphibole"
"Ferroefremovite","Ferroefremovite","(NH4)2Fe2+2(SO4)3","Langbeinite"
"Ferroericssonite","Ferroericssonite","BaFe2+2Fe3+(Si2O7)O(OH)","Ericssonite"
"Ferro-ferri-fluoro-leakeite","Ferro-ferri-fluoro-leakeite","NaNa2(Fe2+2Fe3+2Li)Si8O22F2","Amphibole"
"Ferro-ferri-hornblende","Ferro-ferri-hornblende","[box]Ca2(Fe2+4Fe3+)(Si7Al)O22(OH)2","Amphibole"
"Ferro-ferri-katophorite","Ferro-ferri-katophorite","Na(NaCa)(Fe2+4Fe3+)(Si7Al)O22(OH)2","Amphibole"
"Ferro-ferri-nybøite","Ferro-ferri-nyboite","NaNa2(Fe2+3Fe3+2)(Si7Al)O22(OH)2","Amphibole"
"Ferro-ferri-obertiite","Ferro-ferri-obertiite","NaNa2(Fe2+3Fe3+Ti)Si8O22O2","Amphibole"
"Ferro-ferri-pedrizite","Ferro-ferri-pedrizite","NaLi2(Fe2+2Fe3+2Li)Si8O22(OH)2","Amphibole"
"Ferro-fluoro-edenite","Ferro-fluoro-edenite","NaCa2Fe2+5(Si7AlO22)F2","Amphibole"
"Ferro-fluoro-pedrizite","Ferro-fluoro-pedrizite","NaLi2(Fe2+2Al2Li)Si8O22F2","Amphibole"
"Ferro-gedrite","Ferro-gedrite","[box]Fe2+2(Fe2+3Al2)(Si6Al2)O22(OH)2","Amphibole"
"Ferro-glaucophane","Ferro-glaucophane","[box]Na2(Fe2+3Al2)Si8O22(OH)2","Amphibole"
"Ferrohexahydrite","Ferrohexahydrite","Fe2+(SO4)·6H2O","Hexahydrite"
"Ferrohögbomite-2N2S","Ferrohogbomite-2N2S","(Fe,Mg,Zn,Al)3(Al,Ti,Fe)8O15(OH)","Hogbömite-Ferrohögbomite"
"Ferro-holmquistite","Ferro-holmquistite","[box]Li2(Fe2+3Al2)Si8O22(OH)2","Amphibole"
"Ferro-hornblende","Ferro-hornblende","[box]Ca2(Fe2+4Al)(Si7Al)O22(OH)2","Amphibole"
"Ferroindialite","Ferroindialite","(Fe2+,Mg)2Al4Si5O18","Beryl"
"Ferro-katophorite","Ferro-katophorite","Na(NaCa)(Fe2+4Al)(Si7Al)O22(OH)2","Amphibole"
"Ferrokentbrooksite","Ferrokentbrooksite","Na15Ca6Fe2+3Zr3Nb(Si25O73)(O,OH,H2O)3(F,Cl)2","Eudialyte"
"Ferrokësterite","Ferrokesterite","Cu2FeSnS4","Sphalerite"
"Ferrokinoshitalite","Ferrokinoshitalite","BaFe2+3(Si2Al2)O10(OH)2"," "
"Ferrolaueite","Ferrolaueite","Fe2+Fe3+2(PO4)2(OH)2·8H2O","Laueite"
"Ferromerrillite","Ferromerrillite","Ca9NaFe2+(PO4)7","Cerite"
"Ferronickelplatinum","Ferronickelplatinum","Pt2FeNi","Potarite"
"Ferronigerite-2<i>N</i>1S","Ferronigerite-2N1S","(Al,Fe,Zn)2(Al,Sn)6O11(OH)","Hogbömite-Nigerite"
"Ferronigerite-6<i>N</i>6S","Ferronigerite-6N6S","(Al,Fe,Zn)3(Al,Sn,Fe)8O15(OH)","Hogbömite-Nigerite"
"Ferronordite-(Ce)","Ferronordite-(Ce)","Na3SrCeFe2+Si6O17","Nordite"
"Ferronordite-(La)","Ferronordite-(La)","Na3SrLaFe2+Si6O17","Nordite"
"Ferro-papikeite","Ferro-papikeite","NaFe2+2(Fe2+3Al2)(Si5Al3)O22(OH)2","Amphibole"
"Ferro-pargasite","Ferro-pargasite","NaCa2(Fe2+4Al)(Si6Al2)O22(OH)2","Amphibole"
"Ferro-pedrizite","Ferro-pedrizite","NaLi2(Fe2+2Al2Li)Si8O22(OH)2","Amphibole"
"Qingheiite-(Fe<sup>2+</sup>)","Ferroqingheiite","Na2Fe2+MgAl(PO4)3","Alluaudite-Wyllieite"
"Ferrorhodonite","Ferrorhodonite","CaMn3Fe(Si5O15)","Rhodonite"
"Ferro-richterite","Ferro-richterite","Na(NaCa)Fe2+5Si8O22(OH)2","Amphibole"
"Ferrorockbridgeite","Ferrorockbridgeite","(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O)","Rockbridgeite"
"Ferrorosemaryite","Ferrorosemaryite","[box]NaFe2+(Fe3+Al)(PO4)3","Alluaudite-Wyllieite"
"Ferrosaponite","Ferrosaponite","Ca0.3(Fe2+,Mg,Fe3+)3(Si,Al)4O10(OH)2·4H2O","Smectite-vermiculite"
"Ferroselite","Ferroselite","FeSe2","Marcasite"
"Ferrosilite","Ferrosilite","Fe2+2Si2O6","Pyroxene"
"Ferroskutterudite","Ferroskutterudite","FeAs3","Skutterudite"
"Ferrostalderite","Ferrostalderite","CuFe2TlAs2S6","Routhierite"
"Ferrostrunzite","Ferrostrunzite","Fe2+Fe3+2(PO4)2(OH)2·6H2O","Strunzite"
"Ferrotaaffeite-2<i>N</i>'2S","Ferrotaaffeite-2N2S","(Fe2+,Mg,Zn)3Al8BeO16","Taaffeite-Ferrotaaffeite"
"Ferrotaaffeite-6<i>N</i>'3S","Ferrotaaffeite-6N3S","BeFe2+2Al6O12","Taaffeite-Ferrotaaffeite"
